COLUMN_NAME,DEFINITION,COMMON_USES,EXAMPLES,GRAIN_SCOPE,NOTES,ALIAS_KEYWORDS
UFID,,,,,,
REGISTRATION_CD,,,,,,
UF_GPA,,,,,,
TRANSFER_HOURS_ACCEPTED,,,,,,
TERM_CD,,,,,,
ACAD_LEVEL_CD_BOT,,,,,,
TERM_REGISTERED_HOURS,,,,,,
ACAD_CAR_CD,,,,,,
ACAD_PROG_CD,,,,,,
FIRST_DEGREE_SEEKING_TERM_CD,,,,,,
FIRST_DEGREE_SEEKING_STATUS_CD,,,,,,
STATE_CD,,,,,,
COUNTY_CD,,,,,,
COUNTRY_CD,,,,,,
MATRIC_STATUS_CD,,,,,,
MATRIC_TERM_CD,,,,,,
GRAD_MATRIC_TERM_CD,,,,,,
PRIMARY_DEGREE_CD,,,,,,
UFO_FLAG,,,,,,
PACE_FLAG,,,,,,
IA_FLAG,,,,,,
TERM_GPA,,,,,,
STU_GROUPS,,,,,,
MILITARY_STATUS_CD,,,,,,
MILITARY_STATUS_LD,,,,,,
FORM_OF_STUDY_CD,,,,,,
ACAD_LEVEL_LD,,,,,,
ACAD_GROUP_LD,,,,,,
ACAD_PLAN_LD,,,,,,
REC_VISITS,,,,,,
EVER_REC,,,,,,
PANTRY_VISITS,,,,,,
EVER_PANTRY,,,,,,
C3_VISITS,,,,,,
INTERACTION,,,,,,
LIVE_ON_CAMPUS,,,,,,
STUDENT_EMPLOYEE,,,,,,
DROPPED_ANY,,,,,,
DROPPED_DURING_ADD_DROP,,,,,,
DROPPED_OUTSIDE_ADD_DROP,,,,,,
HOURS_DROPPED,,,,,,
EVENTS_ATTENDED,,,,,,
ATTENDED_EVENTS_FLAG,,,,,,
ACCOMODATION_COUNT,,,,,,
ACCOMODATION_FLAG,,,,,,
DT_OF_BIRTH,,,,,,
GENDER,,,,,,
MFOS_FLAG,,,,,,
HONORS_FLAG,,,,,,
RACE,,,,,,
HISPANIC_FLAG,,,,,,
FIRST_GEN_IND,,,,,,
GREEK_FLAG,,,,,,
FIRSTGRAD_TERM_CD_4YR,,,,,,
GRAD_4YR,,,,,,
FIRSTGRAD_TERM_CD_6YR,,,,,,
GRAD_6YR,,,,,,
GRAD_WINDOW,,,,,,
STU_ATTRIBUTES,,,,,,
INSTRUCTION_MODE_LD ,,,,,,
ETHNICITY,,,,,,
COUNTRY_OF_CITIZENSHIP ,,,,,,
IN_OUT_STATE,,,,,,
EVENTID,,,,,,
EVENTNAME,,,,,,
EVENTDATE,,,,,,
EVENTTIME,,,,,,
CURRENT_RESIDENTS,,,,,,
PREVIOUS_RESIDENTS,,,,,,
RETAINED,,,,,,
RETAINED_2YR,,,,,,
RETAINED_3YR,,,,,,
RETAINED_4YR,,,,,,
COHORT_ALL,,,,,,
